tokens,embedding
cop,"[ 0.01728174 -0.01811003  0.0116943  ...  0.01182065 -0.01971045
 -0.02468018]"
copied,"[-0.02133457 -0.01664096 -0.01059158 ... -0.02133457 -0.0033189
 -0.01494796]"
cops,"[-0.00580631 -0.00256396  0.01002304 ...  0.00697024 -0.0221744
  0.01058838]"
corbett,"[-0.01861072  0.00308865 -0.00557088 ... -0.00525225 -0.01658245
 -0.02469552]"
coronavirus,"[-0.00916957 -0.01250693 -0.0089867  ... -0.02394276  0.01127909
 -0.00403291]"
coronaviruses,"[-0.01467371  0.00302541 -0.00230201 ... -0.02509062 -0.00336621
 -0.01565109]"
corporation,"[-0.01596774 -0.01436168 -0.00627162 ... -0.00843516 -0.01657831
 -0.01071817]"
corpse,"[-0.01850725 -0.00644631  0.0147189  ... -0.00380532 -0.00606612
 -0.01814064]"
correction,"[-0.01842142  0.01401161 -0.01958119 ... -0.01479378 -0.01171905
 -0.01110545]"
corrupt,"[-0.01736604 -0.00950676 -0.00604976 ... -0.00124827 -0.01427365
 -0.01286924]"
corruption,"[-0.00135321 -0.01844765 -0.00286492 ... -0.01223391 -0.00637391
 -0.01819402]"
couid,"[-0.00994598  0.0053949   0.00960707 ... -0.017402   -0.01487055
 -0.00242425]"
could,"[-0.00626259 -0.01702611 -0.00015752 ... -0.01057004 -0.00921908
 -0.02438509]"
council,"[ 0.00948213  0.00021817 -0.01009344 ... -0.00091088 -0.00499809
 -0.02571638]"
count,"[-0.00473419 -0.00946151  0.00578814 ... -0.02106526  0.01037471
 -0.03108979]"
countdown,"[-0.02215779 -0.02006898 -0.0004309  ... -0.00192669  0.01870374
 -0.01582309]"
counted,"[-0.02151661 -0.00832901  0.01438523 ... -0.02456513  0.00038957
 -0.01769234]"
counter,"[-0.01195945 -0.01480694  0.00740347 ... -0.009407   -0.00218536
 -0.02798085]"
countermeasure,"[-0.0246863  -0.02080401 -0.00049628 ...  0.00242467 -0.00896725
 -0.03133965]"
country,"[ 0.01008828 -0.02016316 -0.0079595  ... -0.01126647 -0.02656289
 -0.01259193]"
county,"[ 0.00455319 -0.00151858  0.00825942 ... -0.01425581 -0.036561
 -0.0085169 ]"
course,"[-0.00145834 -0.02305121  0.00278899 ... -0.01674741  0.00408604
 -0.01423395]"
court,"[ 0.01358723 -0.00462895  0.01323038 ...  0.00273865 -0.00679698
 -0.00579713]"
cousin,"[-0.00886971 -0.02052592  0.01564627 ... -0.01975407 -0.01120488
 -0.0133111 ]"
cov2,"[-0.00961891 -0.01537617 -0.00497153 ...  0.00294381 -0.00928067
 -0.01063366]"
cover,"[ 0.00482015 -0.00900259  0.01345979 ... -0.0085684  -0.01746244
 -0.01253714]"
coverage,"[-0.0034163  -0.02276196  0.01492084 ... -0.00707304 -0.01228264
 -0.00905002]"
covering,"[-0.01076186 -0.0157172   0.01478024 ... -0.00642017 -0.01489901
 -0.01323623]"
covert,"[-0.00961138 -0.0089464   0.01404002 ... -0.00064399 -0.00165988
 -0.02362398]"
coverup,"[-0.02125638 -0.00738254  0.01805063 ...  0.00857305 -0.00414021
 -0.02648402]"
covid,"[-0.00304352 -0.0183084   0.00799219 ... -0.0203892  -0.00477302
 -0.01080939]"
covid19,"[-0.01058085 -0.02214227  0.00865947 ... -0.01657689 -0.00358437
 -0.00440924]"
cowboy,"[-0.0298605  -0.01400631 -0.00191817 ... -0.00198679  0.00244709
 -0.0070835 ]"
cracking,"[-0.02503861 -0.00566251 -0.00983562 ...  0.00198531  0.00744706
 -0.01519613]"
crackpot,"[-0.03158112 -0.01579056  0.0006543  ...  0.00729726 -0.00466661
 -0.02310126]"
craft,"[ 0.0056222  -0.02388913 -0.01005895 ...  0.01049569 -0.00410746
 -0.03030856]"
crashing,"[-0.03571786  0.00420449  0.00412337 ... -0.00609718 -0.00637095
 -0.00771273]"
crazy,"[-0.02771422 -0.00543173 -0.00734035 ... -0.01213151 -0.00646447
 -0.01411856]"
create,"[-0.00400859 -0.01653166 -0.01049617 ...  0.0011293   0.00246204
 -0.03020004]"
created,"[-0.0066886  -0.02017521 -0.01268645 ... -0.01219404 -0.00574823
 -0.01797304]"
creates,"[-0.01269368 -0.01471678 -0.00557631 ... -0.01319033  0.017777
 -0.02122431]"
creating,"[-0.01030695 -0.00856522 -0.00457973 ... -0.00283117 -0.00035539
 -0.02445255]"
creation,"[ 0.00705892 -0.02988253 -0.00815461 ...  0.00433297 -0.00126005
 -0.02692084]"
creator,"[ 0.00450459 -0.02892783 -0.0155576  ... -0.0013953  -0.00372876
 -0.01202364]"
creature,"[-0.00099909 -0.03404545  0.00217937 ... -0.0133788  -0.00426566
 -0.02012139]"
credit,"[-0.01184343 -0.02696312 -0.00096356 ... -0.01606426  0.01222654
 -0.01895741]"
crescent,"[ 0.00140421 -0.00192059  0.02441298 ...  0.02089495  0.02370671
 -0.01876282]"
crew,"[-0.00856626 -0.03317058 -0.00133037 ... -0.00983611 -0.0199248
  0.00645802]"
crime,"[ 0.01107942 -0.02527141 -0.00146688 ...  0.00553971 -0.02015885
 -0.01044366]"
crimes,"[ 0.00523497 -0.01880127  0.01617722 ... -0.00013325 -0.0024174
 -0.00610418]"
criminal,"[ 0.00145771 -0.01884009 -0.00344459 ...  0.00710612 -0.01017601
 -0.00787523]"
criminality,"[ 0.02019983 -0.01931699  0.00259416 ...  0.00517184 -0.01000768
 -0.01301854]"
crisis,"[-0.01924764 -0.02281303 -0.01238324 ...  0.00648874 -0.00015763
 -0.01449379]"
critic,"[-0.01962483 -0.01276721 -0.00739045 ... -0.00635938  0.00737661
 -0.01236585]"
criticism,"[-0.0097785  -0.01279833 -0.02391212 ... -0.00158438  0.00533777
 -0.0025131 ]"
criticizing,"[-0.022034    0.00598588 -0.00524442 ... -0.00321132  0.00362268
 -0.01218844]"
croatia,"[ 0.00140996 -0.02425324 -0.00476989 ...  0.00990746  0.00339112
 -0.00496686]"
crowley,"[-0.0053057  -0.00523742 -0.0039605  ...  0.00550373 -0.01004465
 -0.00992856]"
crucial,"[-0.02963503 -0.00214027 -0.00605308 ... -0.01200449 -0.00486687
 -0.01153001]"
crushed,"[-0.03753256 -0.01823746  0.00215256 ...  0.00440682 -0.02645449
  0.00166273]"
crypto,"[ 0.00699148 -0.02734726 -0.0009438  ... -0.01249959  0.01424307
 -0.01868612]"
crystal,"[ 0.00378936 -0.00226523 -0.00845061 ... -0.00167    -0.01513062
 -0.01514403]"
cuba,"[-0.0142644  -0.01644009  0.00747215 ...  0.02075068 -0.00602055
 -0.00184764]"
cult,"[ 0.00031599 -0.01266553  0.01713451 ...  0.00250908 -0.01324904
 -0.02317552]"
culture,"[ 0.01530269 -0.01481163  0.01571413 ... -0.00091411 -0.01495762
 -0.02262887]"
cup,"[ 0.00072884 -0.01465258  0.01601722 ...  0.00361835 -0.00592375
 -0.01687184]"
curb,"[ 0.0024707  -0.01772963  0.00571901 ... -0.00551046 -0.00178586
 -0.00673698]"
cure,"[ 0.00499996 -0.00840105  0.0063078  ...  0.01666184 -0.01240522
 -0.01520323]"
curevac,"[-0.01346929 -0.00403802  0.00425237 ...  0.00242869  0.00503024
  0.0016318 ]"
curiously,"[-0.00117996 -0.00696238 -0.00304562 ...  0.00265768  0.00327361
 -0.02096201]"
currencies,"[-0.00458246 -0.0184106   0.01651302 ... -0.01224009  0.01357917
 -0.01643227]"
currency,"[ 0.00619275 -0.02620302  0.00275386 ... -0.01974521  0.00549052
 -0.03051282]"
current,"[-0.00221154 -0.02153228 -0.00297598 ... -0.02858644  0.01428611
 -0.01304168]"
currently,"[-0.02708378 -0.00509479  0.00479798 ... -0.02375941  0.01905223
 -0.00717951]"
curriculum,"[-0.0027696  -0.01860624 -0.00178906 ... -0.02457895 -0.00350243
 -0.03181777]"
custody,"[ 0.02077696  0.0014057  -0.00357254 ...  0.00220627 -0.01304217
 -0.00211027]"
cut,"[-0.01421711 -0.00874406  0.02246232 ... -0.00578305 -0.00458938
 -0.00927141]"
cutting,"[-0.03747818  0.00067595  0.01537497 ... -0.0060088  -0.0021296
 -0.00522182]"
cuz,"[-1.85370166e-03 -9.02367942e-03  7.87648279e-03 ...  3.36365956e-05
 -1.45358192e-02 -5.56110498e-03]"
cycle,"[ 0.01190989 -0.03343747 -0.00311181 ... -0.00054032 -0.02452716
 -0.02821371]"
cyclical,"[-0.02275316 -0.02041213  0.0190568  ...  0.00939834  0.01783837
 -0.02215079]"
călin,"[-0.00667578 -0.00940139  0.01429959 ...  0.01159373 -0.0161825
 -0.016143  ]"
daily,"[-0.01248721 -0.0069305   0.01142782 ... -0.00618209  0.00954141
 -0.01515962]"
damage,"[-0.01808146 -0.008212    0.01110914 ... -0.00793804 -0.02549212
 -0.01699932]"
damaging,"[-0.03580974  0.00430251  0.00233498 ... -0.02765901 -0.01193212
 -0.00359099]"
damn,"[-0.00861606 -0.01694919  0.00792893 ... -0.01096039 -0.00258347
 -0.02359144]"
dan,"[-0.00496135 -0.0107038   0.01340144 ...  0.00069385 -0.01217195
 -0.01218642]"
danger,"[-0.00927136 -0.00675416  0.00807864 ... -0.01511711 -0.01805731
 -0.01938873]"
dangerous,"[-0.01992078 -0.00402044 -0.01390497 ... -0.03168855 -0.00742082
 -0.00734826]"
dare,"[-0.01565623 -0.02734852 -0.02092374 ... -0.01045522 -0.00789462
 -0.02112327]"
dark,"[ 0.00736004 -0.01530941  0.00637557 ... -0.00922181 -0.01332709
 -0.00783553]"
darpa,"[-0.02180114 -0.00808014 -0.00544682 ... -0.00900181 -0.02151009
 -0.00959084]"
darpacia,"[ 0.0043159   0.01667907  0.01518379 ...  0.01093587 -0.03289596
 -0.01470803]"
daszak,"[-0.00594393 -0.00832764  0.00394216 ... -0.00199495 -0.0083481
 -0.02238438]"
data,"[-0.01552499  0.00133603  0.00604216 ...  0.00971933 -0.01563942
 -0.0242144 ]"
databases,"[-0.02723303 -0.00950241  0.00761142 ... -0.00744198 -0.01206441
  0.00096837]"
date,"[-0.01347426 -0.0204754  -0.00798856 ... -0.00266228 -0.00412456
 -0.00766627]"
dated,"[-0.02691378 -0.00708422 -0.00167862 ...  0.00897126 -0.01971444
 -0.00802949]"
daughter,"[-0.01154988  0.00261475 -0.01632256 ... -0.00073167  0.00397837
 -0.01960889]"
david,"[-0.02576484 -0.00816325 -0.01919218 ...  0.00279667 -0.02192641
 -0.01956025]"
dawn,"[ 0.01319536 -0.00712334 -0.0122923  ... -0.00702225 -0.0015736
 -0.00378406]"
day,"[-0.01031529 -0.00509057  0.00109407 ... -0.00028421 -0.00362175
 -0.02269631]"
daylight,"[ 0.01291165  0.00482714  0.00603306 ... -0.01661951 -0.00588752
 -0.00485833]"
de,"[-0.00704937 -0.02304498  0.01786558 ...  0.00538456 -0.01146195
 -0.00282681]"
dead,"[-0.01803913 -0.01663763 -0.00554009 ... -0.01670701 -0.00849921
 -0.03427435]"
deadly,"[-0.0318947   0.00851765 -0.01381966 ... -0.01659461 -0.01466661
 -0.0169389 ]"
deadorlando,"[-0.02032478 -0.00405878 -0.00248399 ... -0.00563357  0.00505375
 -0.0004992 ]"
deal,"[-0.01548009 -0.01469771  0.01791108 ... -0.01027582 -0.00071471
 -0.02468712]"
dean,"[-0.00865095 -0.01323899 -0.00434275 ... -0.00493007 -0.0105442
 -0.01111771]"
death,"[ 0.0002056   0.00282824 -0.00740197 ...  0.00013427 -0.00845546
 -0.02356236]"
deaths,"[-0.01621277  0.00194036  0.00640152 ... -0.01249126 -0.00218746
 -0.00894223]"
debate,"[-0.01907945 -0.01690361 -0.00617396 ... -0.01395262 -0.01652283
 -0.03163137]"
deblasio,"[-0.02485821 -0.0114513   0.00337927 ... -0.01466703 -0.01344822
 -0.00160614]"
debunked,"[-0.03643113 -0.00722112  0.01385765 ... -0.01771069 -0.0020079
  0.00147478]"
dec,"[ 0.00276125 -0.01675077  0.01359703 ... -0.00921915 -0.00677085
 -0.02214532]"
deceived,"[-0.03452258 -0.0151785  -0.00855577 ...  0.00693583 -0.01464759
 -0.01280984]"
december,"[-0.01794745 -0.0033127  -0.000895   ...  0.0011454   0.00773527
 -0.01705414]"
deceptive,"[-0.03501621  0.0086334   0.00191369 ... -0.00402847 -0.00661246
 -0.02539078]"
decision,"[ 0.00768768 -0.0276009   0.0010694  ... -0.02023354 -0.00967633
 -0.03606268]"
declaration,"[-0.01281601 -0.00469218 -0.0036457  ... -0.00149497 -0.0015281
 -0.01991034]"
declares,"[-0.00490876 -0.00818006 -0.0118356  ... -0.0091137   0.02433192
 -0.0245761 ]"
declining,"[-0.04012191 -0.01640972  0.01016237 ... -0.00442174 -0.00842005
 -0.00892678]"
decree,"[-0.00474384 -0.01887754 -0.00307232 ... -0.00721007 -0.0021728
 -0.01605499]"
dedicated,"[-0.01999795 -0.01783789 -0.00383933 ... -0.02502879  0.00766472
  0.00072249]"
deductible,"[-0.00619025  0.00091733  0.01485388 ... -0.01905319  0.01508491
 -0.0201268 ]"
deemed,"[-0.02889977 -0.03178689 -0.00830404 ... -0.02129607 -0.00485593
 -0.01457137]"
deep,"[-0.00536068 -0.00527252  0.01283037 ... -0.01554292 -0.02576924
 -0.01555648]"
defacto,"[-0.02212714  0.00157265 -0.00485838 ...  0.00405358 -0.01225928
 -0.04254614]"
defend,"[-0.01369296 -0.00378665 -0.0074565  ... -0.02166213 -0.01776839
 -0.00800811]"
defense,"[-0.00819868 -0.00719962 -0.00935062 ... -0.02040781 -0.01797594
 -0.00480686]"
defensive,"[-0.03041122 -0.00826337 -0.0039856  ... -0.01116602 -0.01100088
 -0.01812732]"
definitely,"[-0.0009482  -0.00832997 -0.00064982 ... -0.03359057 -0.02415322
 -0.02227067]"
definition,"[-0.01482372 -0.01776511  0.00772206 ... -0.00994817 -0.03830374
 -0.03631848]"
definitive,"[-0.00245549 -0.00517898 -0.01486535 ... -0.01498158 -0.01341885
 -0.01740963]"
defuse,"[-0.01266157  0.01381988 -0.00843439 ... -0.01433913 -0.02247395
 -0.0068234 ]"
degeneracy,"[-0.01262687 -0.01761696  0.01593522 ...  0.00291376 -0.01082795
 -0.01801672]"
deja,"[-0.00204011 -0.01705411  0.0080654  ... -0.01952533  0.0007782
 -0.01532969]"
deleted,"[-0.02819196  0.0019747  -0.00630223 ... -0.01456514 -0.01717006
 -0.00631623]"
deliberately,"[-0.01880518 -0.02093997 -0.00482367 ... -0.01866921  0.00966774
 -0.02627015]"
delusional,"[-0.026314   -0.00047353 -0.00131389 ... -0.01429937  0.00056298
 -0.01545488]"
demand,"[-0.0021427  -0.02950607 -0.00048913 ... -0.01957236 -0.00426082
 -0.01784414]"
democratic,"[-0.04181074 -0.0157534  -0.00967516 ... -0.0229337  -0.00283291
 -0.0129881 ]"
democratically,"[-0.02938461 -0.03203139 -0.00270754 ... -0.01196451 -0.00256238
 -0.00222815]"
democrats,"[-0.03684901 -0.02715191  0.00519909 ... -0.01286177  0.00131288
  0.0066209 ]"
demographic,"[-0.01650427  0.00949336  0.01078233 ... -0.02092359 -0.01665431
 -0.01458104]"
deny,"[-0.02068761 -0.01387817  0.0062056  ... -0.01655282 -0.01621166
 -0.00346101]"
depart,"[ 0.00688873 -0.02245425  0.00665688 ... -0.00454214 -0.00996249
 -0.00656906]"
department,"[ 0.01296124 -0.01344079 -0.00935452 ...  0.00804421 -0.01964111
 -0.00219004]"
dependency,"[ 0.00469451 -0.01484022 -0.00565692 ... -0.02062938 -0.0210114
 -0.00066166]"
deport,"[-0.02818424 -0.01616169  0.03175152 ... -0.0005659  -0.02480758
  0.00790384]"
depression,"[-0.01923064 -0.01165021  0.03333832 ...  0.00857512 -0.00693031
 -0.0121248 ]"
depth,"[ 0.02417183 -0.00327807 -0.00251877 ... -0.0183907  -0.03041378
 -0.0288498 ]"
desantis,"[-0.02636072 -0.00267524  0.00316226 ... -0.02014858 -0.01138211
 -0.00951574]"
describe,"[-0.00987294  0.00647846  0.01354999 ... -0.0096078  -0.02033197
 -0.02302522]"
describes,"[-0.01155338  0.00741527  0.00662375 ... -0.01809382 -0.00993563
 -0.02896677]"
designed,"[-0.00790689 -0.01812167  0.0015585  ... -0.01913222 -0.00516884
 -0.02418498]"
desire,"[-0.00381487 -0.01891133  0.00280246 ... -0.02573245  0.01096857
 -0.02382827]"
desperate,"[-0.03780354 -0.00113098 -0.01192948 ... -0.02134678  0.01460286
 -0.01557012]"
despite,"[-0.03770905 -0.01685336 -0.00927071 ... -0.01817386  0.01871839
 -0.01937183]"
despot,"[-0.03163389 -0.00491091  0.00304624 ... -0.0060522   0.00031574
 -0.01102352]"
destroying,"[-0.04872601  0.00030635  0.00372959 ... -0.01273991 -0.0077901
 -0.00273515]"
destruction,"[-0.03245818 -0.0128741   0.0054918  ... -0.00748881 -0.00903983
 -0.0077684 ]"
detail,"[-0.01264014 -0.01317597  0.01258518 ... -0.02412618 -0.00994037
 -0.01222109]"
details,"[-0.01126526 -0.01825557  0.01326348 ... -0.02353311 -0.00189205
 -0.01891004]"
detox,"[-0.00528325 -0.00953414  0.00333324 ... -0.0052259  -0.02568079
 -0.01456099]"
devastating,"[-0.04385738 -0.00098207  0.00545538 ... -0.00439043 -0.01322821
 -0.01807074]"
developed,"[-0.00588632 -0.01368266  0.01916961 ... -0.01523845 -0.01489118
 -0.01647475]"
device,"[-0.01357216 -0.01701984  0.01097054 ...  0.00147267 -0.01055456
 -0.0134382 ]"
devil,"[-0.01563383 -0.02373866 -0.00689918 ... -0.0023987   0.01010585
 -0.01773562]"
dhs50,"[-0.02035698  0.01872399 -0.01188759 ... -0.03492931  0.00628285
  0.0163437 ]"
dhsbacked,"[-0.01293753  0.01912991 -0.01049556 ... -0.0295555   0.00370493
  0.00536673]"
diarrhea,"[-0.01109718  0.0167577   0.00354342 ... -0.03067554  0.00526077
 -0.0164251 ]"
dickhead,"[-0.03041498  0.00502592 -0.00533859 ... -0.0185071  -0.01519419
 -0.01051086]"
dictator,"[-0.04695332 -0.01508628 -0.0087525  ... -0.00975006  0.00474179
 -0.01652112]"
die,"[-0.0140557  -0.00630739 -0.00675598 ... -0.01230893 -0.0012506
  0.00055946]"
died,"[-0.01447215 -0.00905825 -0.01227502 ...  0.00344371 -0.00484159
 -0.0106765 ]"
dies,"[-0.02236447 -0.00144063 -0.00654754 ... -0.00082273  0.01417833
 -0.00502549]"
different,"[ 0.00053416 -0.00701704  0.00437055 ... -0.03013435 -0.00795622
 -0.01427558]"
dig,"[-0.02381909 -0.00246149  0.01586141 ... -0.02062253 -0.01398663
  0.00880065]"
digital,"[-0.02492402  0.00278087 -0.00672848 ... -0.01386497 -0.00462404
 -0.00884724]"
direct,"[-0.01676548 -0.01791281 -0.01659337 ... -0.02773689 -0.03852187
 -0.01356727]"
directed,"[-0.03745262 -0.02320911 -0.01961739 ... -0.01455881 -0.01945288
 -0.01215976]"
direction,"[-0.00598306 -0.01114498 -0.0082675  ... -0.02097053 -0.01649289
 -0.02894327]"
director,"[-0.01237548 -0.03146284 -0.02420219 ... -0.00739433 -0.00913914
  0.00239032]"
directors,"[-0.01027962 -0.02125685 -0.02213229 ... -0.00595712 -0.01323424
  0.0061281 ]"
directs,"[-0.02667601 -0.02070481 -0.0154557  ... -0.01791362  0.00143118
 -0.00966502]"
dirty,"[ 0.00339687 -0.01365537 -0.00973055 ...  0.00749653 -0.0180623
 -0.01715239]"
disaster,"[-0.03073574 -0.02933265 -0.00574475 ...  0.00343163 -0.01966982
 -0.0216818 ]"
disclosure,"[-0.00092108 -0.02646407 -0.00699574 ... -0.00509372 -0.00891486
 -0.02045697]"
discover,"[ 0.01310765 -0.01167836  0.01390945 ... -0.00729984 -0.0157989
 -0.02592246]"
discovered,"[-0.01462615 -0.00206732 -0.0050976  ... -0.01318508 -0.01898975
 -0.00588884]"
discus,"[-0.01225284  0.0005169   0.00435566 ... -0.00777506 -0.02594399
 -0.02074705]"
discussion,"[-1.54018598e-02  8.72080418e-05  2.70039625e-02 ... -7.63331866e-03
 -1.35560706e-02 -1.62672848e-02]"
disease,"[-0.01659728 -0.00577799  0.00479352 ... -0.00899239 -0.01096795
 -0.01555334]"
disenfranchised,"[-0.03478045 -0.02181262 -0.00398696 ...  0.01472318 -0.00979051
 -0.00874954]"
disenfranchisement,"[-0.02944359 -0.01857938  0.00327534 ...  0.01457746 -0.00126536
 -0.011763  ]"
disguise,"[-0.02621788 -0.00421126  0.02250781 ... -0.0102255  -0.00079124
 -0.00841602]"
disgusting,"[-2.42933910e-02  4.37637100e-05  1.25736780e-02 ... -3.25781256e-02
 -6.15300843e-03 -8.04256555e-03]"
disinformation,"[-0.03802694  0.02131066 -0.01159627 ...  0.00301587 -0.00517517
 -0.01631395]"
dismissal,"[-0.02580544  0.01275221  0.00612298 ... -0.01164392  0.01014567
 -0.01544769]"
disney,"[-0.01661888 -0.02682297 -0.00308051 ...  0.00291473  0.00605953
 -0.00645538]"
disparaging,"[-0.03344336  0.00071883  0.02599763 ... -0.01454481 -0.00468997
  0.00031977]"
dispelled,"[-0.02788548 -0.00091636 -0.00202127 ... -0.00774675 -0.01329424
 -0.01698787]"
disposable,"[-0.02490114  0.00103343 -0.00170559 ... -0.00707322 -0.0027876
 -0.02040706]"
disposed,"[-0.01434056 -0.00783112  0.00533619 ... -0.0152099   0.00050667
 -0.02616499]"
disrupted,"[-0.04609569 -0.01229402  0.00767345 ... -0.00201806 -0.01762968
 -0.01599322]"
distracting,"[-0.06857191  0.01669045  0.02174816 ... -0.01381554 -0.00125528
 -0.0246763 ]"
distraction,"[-0.0546792   0.01462908  0.00997256 ... -0.00658842 -0.00314099
 -0.02428854]"
disturbance,"[-0.02172069 -0.00983257  0.00624192 ... -0.00810434 -0.00147456
 -0.02470581]"
divide,"[ 0.00309082 -0.00110362  0.02820549 ... -0.00537775 -0.00437289
 -0.00284307]"
dividing,"[-0.00809867  0.01796141  0.00628115 ... -0.00874015 -0.00297018
 -0.0042097 ]"
divorce,"[-0.01576867  0.0003881   0.00581122 ... -0.00470663  0.00850627
 -0.02956788]"
dna,"[-0.02682988 -0.0184305  -0.02241619 ... -0.01114791 -0.00759021
 -0.0066105 ]"
doc,"[-0.00313254 -0.01225387 -0.00847548 ... -0.00386473 -0.0208744
 -0.02305717]"
doctor,"[-0.00835789 -0.00631477 -0.00312708 ... -0.00108218 -0.01227297
 -0.01567461]"
doctors,"[-0.02170469 -0.00017154  0.004034   ...  0.01065346 -0.00187115
 -0.00725257]"
doctrine,"[-0.005869   -0.01976411 -0.00438774 ... -0.00702109 -0.00122213
 -0.02809837]"
document,"[-0.00928454 -0.00759579 -0.00243514 ...  0.00514105  0.00862899
 -0.04432066]"
documentary,"[-0.01772685 -0.02021506 -0.00590447 ... -0.00263448 -0.01078002
 -0.03792846]"
documentrys,"[-0.01982076 -0.00328758 -0.00716102 ... -0.01213386 -0.00581635
 -0.03077582]"
dod,"[-0.0076339  -0.00199648 -0.01823576 ... -0.01006349  0.00430701
  0.00048833]"
dojfbi,"[-0.0211296   0.01540729 -0.01826151 ... -0.01991031  0.00731569
 -0.01458981]"
dollar,"[-0.01338647 -0.02380115 -0.00034227 ... -0.02288675 -0.00134974
 -0.02100418]"
domestic,"[-0.00239331 -0.01165046 -0.01384578 ... -0.0151727  -0.02766377
 -0.02998414]"
dominion,"[ 0.00218187 -0.02332763 -0.01288049 ... -0.00456425 -0.01587801
 -0.02683493]"
donald,"[-0.03532315 -0.01198704  0.00688331 ... -0.01540519  0.00377407
 -0.00505672]"
donate,"[-0.02812287 -0.02953444 -0.00783151 ... -0.01348459  0.00321676
 -0.02610052]"
donated,"[-0.02817944 -0.02035486 -0.01259183 ... -0.02397988 -0.01193522
 -0.02344639]"
donating,"[-0.03159946 -0.02915411 -0.00474807 ... -0.01426459  0.00173892
 -0.03056698]"
donbas,"[-0.01796813 -0.01407528  0.00337878 ... -0.01594016 -0.01062205
  0.00176827]"
done,"[-0.02584968 -0.03021883  0.00976634 ... -0.01220116 -0.00636773
 -0.02967776]"
donor,"[-0.02336656 -0.03149997 -0.00381849 ... -0.03606992  0.00174008
 -0.0119077 ]"
dont,"[-0.01939075  0.00398534  0.00223488 ... -0.01043748 -0.00426707
 -0.0297389 ]"
door,"[-0.00484436 -0.02687581 -0.00349721 ... -0.01495639  0.00080585
 -0.01046813]"
dos,"[ 0.00032193 -0.00525075  0.01913844 ...  0.00629957  0.00243725
 -0.01784656]"
dot,"[-0.00975782 -0.01297233  0.00500035 ... -0.00681833 -0.02721617
 -0.02281586]"
